Field,Purpose,Allowed_Values,Example,Labeling_Rule
Hazard,Identify the hazardous condition or source of harm described in the report.,Free text using standardized hazard names; use Unknown if not supported.,Unexpected energization,Use the hazard explicitly described or clearly supported by the narrative. Do not infer a hazard without evidence.
Barrier,Identify the control/barrier intended to prevent the hazardous event.,Standardized barrier/control; use Unknown if not supported.,Energy isolation / LOTO,Record the preventive or protective control relevant to the event.
Barrier_Failure,"Describe how the barrier was missing, inadequate, bypassed, or failed.",Free text using concise standardized wording; use None Identified when appropriate.,Isolation not performed or not verified,Only label a failure when the source supports it. Do not invent a failed barrier.
Potential_Consequence,Describe the serious/fatal outcome that could reasonably have occurred.,Serious injury; Fatality; Fire/Explosion with injury potential; Toxic exposure; Dropped-object impact; Other supported consequence; Unknown.,Fatal injury from unexpected energization,"Focus on credible potential consequence, not only the actual outcome."
SIF_Label,Classify whether the report contains Serious Injury/Fatality potential.,SIF Potential; Non-SIF Potential; Needs Review,SIF Potential,Use SIF Potential when the report describes a credible exposure/event that could reasonably result in serious injury or fatality. A no-injury near miss can still be SIF Potential.
SIF_Reason,Give a short evidence-based explanation for the SIF classification.,Short text,Worker was exposed to uncontrolled energy during maintenance.,Mention the key exposure/hazard + failed or absent barrier + credible severe consequence when supported.
Life_Saving_Rule,Map the report to the most relevant IOGP Life-Saving Rule.,Use the Life-Saving Rule named in the source where available; otherwise map only when clearly supported; else Unknown.,Energy Isolation,Prefer the source's stated primary rule. Do not force a rule when evidence is insufficient.
Secondary_LSR,Capture a second relevant Life-Saving Rule when supported.,One additional IOGP Life-Saving Rule or blank.,Line of Fire,Use only when the report supports a meaningful secondary rule.
Annotation_Status,Track whether the record is ready for model-training use.,Annotated; Needs Review; Insufficient Evidence,Annotated,Use Needs Review when interpretation is uncertain; do not force a label.
Annotation_Confidence,Record confidence in the annotation.,High; Medium; Low,High,High = directly supported; Medium = reasonable interpretation; Low = ambiguous.
Reviewer_Notes,Document important ambiguity or evidence for later HSE review.,Free text or blank,Source describes exposure but does not explicitly state whether isolation was verified.,"Use for unresolved interpretation, source-quality issues, or reviewer comments."
